Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion Speed (mas/yr),Proper Motion Angle (DD.SS),Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Rasalhague,17.34.56,12.3338,2.09,246.5,154.0,108.0585,-221.5527,"Rasalhague, α-Oph, Alpha Ophiuchi, 55-Oph, 55 Ophiuchi, HR 6556, HD 159561, NSV 9189, HIP 86032, TYC 1000-2508-1",https://in-the-sky.org/data/object.php?id=TYC1000-2508-1
Rasalnaqa,23.38.08200,43.160506,4.29,27.1916,182.6264,27.163,-1.246,"Rasalnaqa, ι And, 17 And, BD+42°4720, FK5 891, HD 222173, HIP 116631, HR 8965, SAO 53216, PPM 64473",https://en.wikipedia.org/wiki/Iota_Andromedae
Rastaban,17.30.25,52.1805,2.8,19.7,305.2,-16.0978,11.3557,"Rastaban, β-Dra, Beta Draconis, 23-Dra, 23 Draconis, HR 6536, HD 159181, HIP 85670, TYC 3521-1800-1, Gaia EDR3- 1415230383034813824",https://in-the-sky.org/data/object.php?id=TYC3521-1800-1
Regulus,10.08.22,11.5801,1.41,248.8,271.3,-248.736,5.6446,"Regulus, α-Leo, Alpha Leonis, 32-Leo, 32 Leonis, HR 3982, HD 87901, NSV 4750, HIP 49669, TYC 833-1381-1",https://in-the-sky.org/data/object.php?id=TYC833-1381-1
Revati,01.13.4380,7.34319,5.21,155.3267,201.0102,145.0,-55.69,"Revati, Zeta Piscium, HD 7344, EPIC 220536030, TYC 613-1249-1, HIP 5737, HR 361, 86 Piscium, 86 Psc, BD+06 174",https://www.universeguide.com/star/5737/zetapiscium
Rhombus,04.14.25,-62.2825,3.33,64.8,40.3,41.912,49.4209,"α-Ret, Alpha Reticuli, HR 1336, HD 27256, HIP 19780, TYC 8869-2461-1",https://in-the-sky.org/data/object.php?id=TYC8869-2461-1
Rigel,05.14.32,-8.1205,0.28,1.4,69.1,1.3079,0.4994,"Rigel, β-Ori, Beta Orionis, 19-Ori, 19 Orionis, HR 1713, HD 34085, NSV 1882, HIP 24436, TYC 5331-1752-1",https://in-the-sky.org/data/object.php?id=TYC5331-1752-1
Rigil Kentaurus,14.39.40,-60.5006,-0.01,3710.0,277.3,-3679.9284,471.4097,"Rigil Kentaurus, α-Cen, Alpha Centauri, HR 5459, HD 128620, HIP 71683",https://in-the-sky.org/data/object.php?id=HIP71683
Rosalíadecastro,16.32.51051,2.050538,7.89,87.1691,186.0848,-9.24,-86.678,"Rosalíadecastro, BD+02°3127, HD 149143, HIP 81022, SAO 121678, PPM 162774",https://en.wikipedia.org/wiki/HD_149143
Rotanev,20.37.32,14.3542,3.63,127.5,112.1,118.1324,-47.9686,"Rotanev, β-Del, Beta Delphini, 6-Del, 6 Delphini, HR 7882, HD 196524, HIP 101769, TYC 1100-1720-1",https://in-the-sky.org/data/object.php?id=TYC1100-1720-1
Ruchbah,01.25.49,60.1406,2.68,300.5,99.4,296.4649,-49.0795,"Ruchbah, δ-Cas, Delta Cassiopeiae, 37-Cas, 37 Cassiopeiae, HR 403, HD 8538, HIP 6686, TYC 4031-3289-1, Gaia EDR3- 510204838759030144",https://in-the-sky.org/data/object.php?id=TYC4031-3289-1
Rukbat,19.23.53,-40.3659,3.94,124.2,165.2,31.7264,-120.0795,"Rukbat, α-Sgr, Alpha Sagittarii, HR 7348, HD 181869, HIP 95347, TYC 7935-2139-1, Gaia EDR3- 6713727061309245952",https://in-the-sky.org/data/object.php?id=TYC7935-2139-1
Sabik,17.10.22,-15.433,2.43,107.0,22.0,40.0829,99.2087,"Sabik, η-Oph, Eta Ophiuchi, 35-Oph, 35 Ophiuchi, HR 6378, HD 155125, HIP 84012, TYC 6232-1333-1",https://in-the-sky.org/data/object.php?id=TYC6232-1333-1
Saclateni,05.02.28,41.0433,3.77,22.8,155.5,9.455,-20.7471,"ζ-Aur, Zeta Aurigae, 8-Aur, 8 Aurigae, HR 1612, HD 32068, HIP 23453, TYC 2899-2236-1",https://in-the-sky.org/data/object.php?id=TYC2899-2236-1
Sadachbia,22.21.39,-1.2314,3.85,129.8,86.6,129.5715,7.698,"Sadachbia, γ-Aqr, Gamma Aquarii, 48-Aqr, 48 Aquarii, HR 8518, HD 212061, NSV 14132, HIP 110395, TYC 5226-1606-1",https://in-the-sky.org/data/object.php?id=TYC5226-1606-1
Sadalbari,22.50.00,24.3605,3.51,151.3,106.3,145.2185,-42.4649,"Sadalbari, μ-Peg, Mu Pegasi, 48-Peg, 48 Pegasi, HR 8684, HD 216131, HIP 112748, TYC 2225-1821-1, Gaia EDR3- 1876510592179455744",https://in-the-sky.org/data/object.php?id=TYC2225-1821-1
